File,Logic Domain,CEGAR,Cheetah,S52SAT
s4_branch_n.0005.intohylo,s4,-1,-1,-1
s4_branch_n.0006.intohylo,s4,-1,-1,-1
s4_branch_n.0007.intohylo,s4,-1,-1,-1
s4_branch_n.0008.intohylo,s4,-1,-1,-1
s4_branch_n.0009.intohylo,s4,-1,-1,-1
s4_branch_n.0010.intohylo,s4,-1,-1,-1
s4_branch_n.0011.intohylo,s4,-1,-1,-1
s4_branch_n.0012.intohylo,s4,-1,-1,-1
s4_branch_n.0013.intohylo,s4,-1,-1,-1
s4_branch_n.0014.intohylo,s4,-1,-1,-1
s4_branch_n.0015.intohylo,s4,-1,-1,-1
s4_branch_n.0016.intohylo,s4,-1,-1,-1
s4_branch_n.0017.intohylo,s4,-1,-1,-1
s4_branch_n.0018.intohylo,s4,-1,-1,-1
s4_branch_n.0019.intohylo,s4,-1,-1,-1
s4_branch_n.0020.intohylo,s4,-1,-1,-1
s4_branch_n.0021.intohylo,s4,-1,-1,-1
s4_branch_n.0022.intohylo,s4,-1,-1,-1
s4_branch_n.0023.intohylo,s4,-1,-1,-1
s4_branch_n.0024.intohylo,s4,-1,-1,-1
s4_branch_n.0025.intohylo,s4,-1,-1,-1
s4_branch_n.0026.intohylo,s4,-1,-1,-1
s4_branch_n.0027.intohylo,s4,-1,-1,-1
s4_branch_n.0028.intohylo,s4,-1,-1,-1
s4_branch_n.0029.intohylo,s4,-1,-1,-1
s4_branch_n.0030.intohylo,s4,-1,-1,-1
s4_branch_n.0032.intohylo,s4,-1,-1,0.25
s4_branch_n.0034.intohylo,s4,-1,-1,-1
s4_branch_n.0036.intohylo,s4,-1,-1,-1
s4_branch_n.0038.intohylo,s4,-1,-1,-1
s4_branch_n.0040.intohylo,s4,-1,-1,-1
s4_branch_n.0042.intohylo,s4,-1,-1,-1
s4_branch_n.0044.intohylo,s4,-1,-1,-1
s4_branch_n.0046.intohylo,s4,-1,-1,-1
s4_branch_n.0048.intohylo,s4,-1,-1,-1
s4_branch_n.0050.intohylo,s4,-1,-1,-1
s4_branch_n.0052.intohylo,s4,-1,-1,-1
s4_branch_n.0054.intohylo,s4,-1,-1,-1
s4_branch_n.0056.intohylo,s4,-1,-1,-1
s4_branch_n.0058.intohylo,s4,-1,-1,-1
s4_branch_n.0060.intohylo,s4,-1,-1,-1
s4_branch_n.0062.intohylo,s4,-1,-1,-1
s4_branch_n.0064.intohylo,s4,-1,-1,-1
s4_branch_n.0066.intohylo,s4,-1,-1,-1
s4_branch_n.0068.intohylo,s4,-1,-1,-1
s4_branch_n.0070.intohylo,s4,-1,-1,-1
s4_branch_n.0072.intohylo,s4,-1,-1,-1
s4_branch_n.0074.intohylo,s4,-1,-1,-1
s4_branch_n.0076.intohylo,s4,-1,-1,-1
s4_branch_n.0078.intohylo,s4,-1,-1,-1
s4_branch_n.0080.intohylo,s4,-1,-1,0.25
s4_branch_n.0088.intohylo,s4,-1,-1,-1
s4_branch_p.0001.intohylo,s4,-1,-1,0.25
s4_branch_p.0002.intohylo,s4,-1,-1,-1
s4_branch_p.0003.intohylo,s4,-1,-1,-1
s4_branch_p.0004.intohylo,s4,-1,-1,-1
s4_branch_p.0005.intohylo,s4,-1,-1,-1
s4_branch_p.0006.intohylo,s4,-1,-1,-1
s4_branch_p.0007.intohylo,s4,-1,-1,-1
s4_branch_p.0008.intohylo,s4,-1,-1,-1
s4_branch_p.0009.intohylo,s4,-1,-1,-1
s4_branch_p.0010.intohylo,s4,-1,-1,-1
s4_branch_p.0011.intohylo,s4,-1,-1,-1
s4_branch_p.0012.intohylo,s4,-1,-1,-1
s4_branch_p.0013.intohylo,s4,-1,-1,-1
s4_branch_p.0014.intohylo,s4,-1,-1,-1
s4_branch_p.0015.intohylo,s4,-1,-1,-1
s4_branch_p.0016.intohylo,s4,-1,-1,-1
s4_branch_p.0017.intohylo,s4,-1,-1,-1
s4_branch_p.0018.intohylo,s4,-1,-1,-1
s4_branch_p.0019.intohylo,s4,-1,-1,-1
s4_branch_p.0020.intohylo,s4,-1,-1,-1
s4_branch_p.0021.intohylo,s4,-1,-1,-1
s4_branch_p.0022.intohylo,s4,-1,-1,-1
s4_branch_p.0023.intohylo,s4,-1,-1,-1
s4_branch_p.0024.intohylo,s4,-1,-1,-1
s4_branch_p.0025.intohylo,s4,-1,-1,-1
s4_branch_p.0026.intohylo,s4,-1,-1,-1
s4_branch_p.0027.intohylo,s4,-1,-1,-1
s4_branch_p.0028.intohylo,s4,-1,-1,-1
s4_branch_p.0029.intohylo,s4,-1,-1,-1
s4_branch_p.0030.intohylo,s4,-1,-1,-1
s4_branch_p.0032.intohylo,s4,-1,-1,0.25
s4_branch_p.0034.intohylo,s4,-1,-1,-1
s4_branch_p.0036.intohylo,s4,-1,-1,-1
s4_branch_p.0038.intohylo,s4,-1,-1,-1
s4_branch_p.0040.intohylo,s4,-1,-1,-1
s4_branch_p.0042.intohylo,s4,-1,-1,-1
s4_branch_p.0044.intohylo,s4,-1,-1,-1
s4_branch_p.0046.intohylo,s4,-1,-1,-1
s4_branch_p.0048.intohylo,s4,-1,-1,-1
s4_branch_p.0050.intohylo,s4,-1,-1,-1
s4_branch_p.0052.intohylo,s4,-1,-1,-1
s4_branch_p.0054.intohylo,s4,-1,-1,-1
s4_branch_p.0056.intohylo,s4,-1,-1,-1
s4_branch_p.0058.intohylo,s4,-1,-1,-1
s4_branch_p.0060.intohylo,s4,-1,-1,-1
s4_branch_p.0062.intohylo,s4,-1,-1,-1
s4_branch_p.0064.intohylo,s4,-1,-1,-1
s4_branch_p.0066.intohylo,s4,-1,-1,-1
s4_branch_p.0068.intohylo,s4,-1,-1,-1
s4_branch_p.0070.intohylo,s4,-1,-1,-1
s4_branch_p.0072.intohylo,s4,-1,-1,-1
s4_branch_p.0074.intohylo,s4,-1,-1,-1
s4_branch_p.0076.intohylo,s4,-1,-1,-1
s4_branch_p.0078.intohylo,s4,-1,-1,-1
s4_branch_p.0080.intohylo,s4,-1,-1,0.25
s4_branch_p.0088.intohylo,s4,-1,-1,-1
s4_grz_n.0010.intohylo,s4,-1,-1,0.25
s4_grz_n.0020.intohylo,s4,-1,-1,-1
s4_grz_n.0030.intohylo,s4,-1,-1,-1
s4_grz_n.0040.intohylo,s4,-1,-1,-1
s4_grz_n.0050.intohylo,s4,-1,-1,-1
s4_grz_n.0060.intohylo,s4,-1,-1,-1
s4_grz_n.0070.intohylo,s4,-1,-1,-1
s4_grz_n.0080.intohylo,s4,-1,-1,-1
s4_grz_n.0090.intohylo,s4,-1,-1,-1
s4_grz_n.0100.intohylo,s4,-1,-1,0.25
s4_grz_n.0200.intohylo,s4,-1,-1,-1
s4_grz_n.0300.intohylo,s4,-1,-1,-1
s4_grz_n.0400.intohylo,s4,-1,-1,-1
s4_grz_n.0500.intohylo,s4,-1,-1,-1
s4_grz_n.0600.intohylo,s4,-1,-1,-1
s4_grz_n.0700.intohylo,s4,-1,-1,-1
s4_grz_n.0800.intohylo,s4,-1,-1,-1
s4_grz_n.0900.intohylo,s4,-1,-1,-1
s4_grz_n.1000.intohylo,s4,-1,-1,-1
s4_grz_n.1100.intohylo,s4,-1,-1,-1
s4_grz_n.1200.intohylo,s4,-1,-1,-1
s4_grz_n.1300.intohylo,s4,-1,-1,-1
s4_grz_n.1400.intohylo,s4,-1,-1,-1
s4_grz_n.1500.intohylo,s4,-1,-1,-1
s4_grz_n.1600.intohylo,s4,-1,-1,-1
s4_grz_n.1700.intohylo,s4,-1,-1,-1
s4_grz_n.1800.intohylo,s4,-1,-1,-1
s4_grz_n.1900.intohylo,s4,-1,-1,-1
s4_grz_n.2000.intohylo,s4,-1,-1,-1
s4_grz_n.2100.intohylo,s4,-1,-1,-1
s4_grz_n.2200.intohylo,s4,-1,-1,-1
s4_grz_n.2300.intohylo,s4,-1,-1,-1
s4_grz_n.2400.intohylo,s4,-1,-1,-1
s4_grz_n.2500.intohylo,s4,-1,-1,-1
s4_grz_n.2600.intohylo,s4,-1,-1,-1
s4_grz_n.2700.intohylo,s4,-1,-1,-1
s4_grz_n.2800.intohylo,s4,-1,-1,-1
s4_grz_n.2900.intohylo,s4,-1,-1,-1
s4_grz_n.3000.intohylo,s4,-1,-1,-1
s4_grz_n.3100.intohylo,s4,-1,-1,-1
s4_grz_n.3200.intohylo,s4,-1,-1,-1
s4_grz_n.3300.intohylo,s4,-1,-1,-1
s4_grz_n.3400.intohylo,s4,-1,-1,-1
s4_grz_n.3500.intohylo,s4,-1,-1,-1
s4_grz_n.3600.intohylo,s4,-1,-1,-1
s4_grz_n.3700.intohylo,s4,-1,-1,-1
s4_grz_n.3800.intohylo,s4,-1,-1,-1
s4_grz_n.3900.intohylo,s4,-1,-1,-1
s4_grz_n.4000.intohylo,s4,-1,-1,-1
s4_grz_n.4500.intohylo,s4,-1,-1,0.25
s4_grz_n.5000.intohylo,s4,-1,-1,-1
s4_grz_n.5500.intohylo,s4,-1,-1,-1
s4_grz_n.6000.intohylo,s4,-1,-1,-1
s4_grz_n.6500.intohylo,s4,-1,-1,-1
s4_grz_n.7000.intohylo,s4,-1,-1,-1
s4_grz_n.7500.intohylo,s4,-1,-1,-1
s4_grz_p.0010.intohylo,s4,-1,-1,0.25
s4_grz_p.0020.intohylo,s4,-1,-1,-1
s4_grz_p.0030.intohylo,s4,-1,-1,-1
s4_grz_p.0040.intohylo,s4,-1,-1,-1
s4_grz_p.0050.intohylo,s4,-1,-1,-1
s4_grz_p.0060.intohylo,s4,-1,-1,-1
s4_grz_p.0070.intohylo,s4,-1,-1,-1
s4_grz_p.0080.intohylo,s4,-1,-1,-1
s4_grz_p.0090.intohylo,s4,-1,-1,-1
s4_grz_p.0100.intohylo,s4,-1,-1,0.25
s4_grz_p.0200.intohylo,s4,-1,-1,-1
s4_grz_p.0300.intohylo,s4,-1,-1,-1
s4_grz_p.0400.intohylo,s4,-1,-1,-1
s4_grz_p.0500.intohylo,s4,-1,-1,-1
s4_grz_p.0600.intohylo,s4,-1,-1,-1
s4_grz_p.0700.intohylo,s4,-1,-1,-1
s4_grz_p.0800.intohylo,s4,-1,-1,-1
s4_grz_p.0900.intohylo,s4,-1,-1,-1
s4_grz_p.1000.intohylo,s4,-1,-1,-1
s4_grz_p.1100.intohylo,s4,-1,-1,-1
s4_grz_p.1200.intohylo,s4,-1,-1,-1
s4_grz_p.1300.intohylo,s4,-1,-1,-1
s4_grz_p.1400.intohylo,s4,-1,-1,-1
s4_grz_p.1500.intohylo,s4,-1,-1,-1
s4_grz_p.1600.intohylo,s4,-1,-1,-1
s4_grz_p.1700.intohylo,s4,-1,-1,-1
s4_grz_p.1800.intohylo,s4,-1,-1,-1
s4_grz_p.1900.intohylo,s4,-1,-1,-1
s4_grz_p.2000.intohylo,s4,-1,-1,-1
s4_grz_p.2100.intohylo,s4,-1,-1,-1
s4_grz_p.2200.intohylo,s4,-1,-1,-1
s4_grz_p.2300.intohylo,s4,-1,-1,-1
s4_grz_p.2400.intohylo,s4,-1,-1,-1
s4_grz_p.2500.intohylo,s4,-1,-1,-1
s4_grz_p.2600.intohylo,s4,-1,-1,-1
s4_grz_p.2700.intohylo,s4,-1,-1,-1
s4_grz_p.2800.intohylo,s4,-1,-1,-1
s4_grz_p.2900.intohylo,s4,-1,-1,-1
s4_grz_p.3000.intohylo,s4,-1,-1,-1
s4_grz_p.3100.intohylo,s4,-1,-1,-1
s4_grz_p.3200.intohylo,s4,-1,-1,-1
s4_grz_p.3300.intohylo,s4,-1,-1,-1
s4_grz_p.3400.intohylo,s4,-1,-1,-1
s4_grz_p.3500.intohylo,s4,-1,-1,-1
s4_grz_p.3600.intohylo,s4,-1,-1,-1
s4_grz_p.3700.intohylo,s4,-1,-1,-1
s4_grz_p.3800.intohylo,s4,-1,-1,-1
s4_grz_p.3900.intohylo,s4,-1,-1,-1
s4_grz_p.4000.intohylo,s4,-1,-1,-1
s4_grz_p.4500.intohylo,s4,-1,-1,0.25
