File,CEGAR,Cheetah,S52SAT
p-qbf-cnfLadn-K4-C30-V4-D6.7.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V4-D6.8.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.1.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.2.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.3.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.4.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.5.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.6.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.7.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D4.8.intohylo,0.25,0.25,0.25
p-qbf-cnfLadn-K4-C30-V8-D6.1.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.2.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.3.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.4.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.5.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.6.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.7.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C30-V8-D6.8.intohylo,0.25,0.25,0.5
p-qbf-cnfLadn-K4-C40-V16-D4.1.intohylo,0.25,2.0,2.0
p-qbf-cnfLadn-K4-C40-V16-D4.2.intohylo,0.25,2.0,2.0
p-qbf-cnfLadn-K4-C40-V16-D4.3.intohylo,0.25,1.0,2.0
p-qbf-cnfLadn-K4-C40-V16-D4.4.intohylo,0.25,0.5,2.0
p-qbf-cnfLadn-K4-C40-V16-D4.5.intohylo,0.25,1.0,2.0
p-qbf-cnfLadn-K4-C40-V16-D4.6.intohylo,0.25,1.0,2.0
p-qbf-cnfLadn-K4-C40-V16-D4.7.intohylo,0.25,1.0,2.0
