File,CEGAR,Cheetah,S52SAT,LCK,KSP
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s2.intohylo",0.09127068519592285,17.19228720664978,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s3.intohylo",0.09097957611083984,21.229583263397217,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s4.intohylo",0.08886981010437012,29.58872079849243,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s5.intohylo",0.09000945091247559,25.011033535003662,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s6.intohylo",0.09442329406738281,27.856580018997192,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s7.intohylo",0.10233736038208008,18.319387674331665,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s8.intohylo",0.1111142635345459,29.247310876846313,-1.0,-1.0,-1.0
"v03m1d2C[[0,0,1]]p[[[],[],[1,0,0,0]]]nm0.5np0.5c180s9.intohylo",0.11141657829284668,21.102141618728638,-1.0,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s0.intohylo",0.06460261344909668,0.8926527500152588,6.698088645935059,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s1.intohylo",0.04870033264160156,0.866520881652832,3.8245797157287598,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s2.intohylo",0.04637956619262695,0.5855393409729004,2.5865321159362793,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s3.intohylo",0.032637596130371094,0.8181383609771729,2.392958402633667,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s4.intohylo",0.03190159797668457,0.7241389751434326,2.416020631790161,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s5.intohylo",0.04190325736999512,0.9058425426483154,3.3676857948303223,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s6.intohylo",0.037662506103515625,0.8036184310913086,3.914677381515503,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s7.intohylo",0.04363894462585449,0.8749332427978516,3.1638147830963135,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s8.intohylo",0.03387641906738281,0.7307944297790527,3.258641242980957,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s9.intohylo",0.06449508666992188,0.7175655364990234,5.218350887298584,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s0.intohylo",0.03979134559631348,1.0610406398773193,9.363985538482666,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s1.intohylo",0.033921241760253906,1.0146441459655762,2.8013153076171875,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s2.intohylo",0.03300619125366211,0.6821455955505371,2.732780933380127,-1.0,-1.0
"v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s3.intohylo",0.04741168022155762,1.0269498825073242,5.96172308921814,-1.0,-1.0
